Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/Arctic-Fox-Backpack-Charging-Laptop/dp/B089QBD333,Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),"1,299",4.5 out of 5 stars,"4,526"
https://www.amazon.in/Nivia-6853BKGR-Polyester-Black-Grey/dp/B07NLB6FRS,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,219,4.0 out of 5 stars,"4,170"
https://www.amazon.in/gp/bestsellers/electronics/1389022031/ref=sr_bs_3_1389022031_1,"Dyazo Water Resistant Camera Bag/Case Shoulder Strap Space for Photography Lens and Accessories Compatible for Nikon, Canon, Sony, Panasonic, Samsung & Other SLR/DSLR etc (Black & Silver)",698,4.2 out of 5 stars,726
https://www.amazon.in/Home-Puff-Insulated-Lightweight-Multiple/dp/B0B42KFBDM,"Home Puff Lunch Bag for Women & Men, Insulated Lunch Bag, Tiffin Lunch Bag for Office/College/School, Bottle Holder, Lightweight, Durable Handles, Multiple Pockets, with Warranty, Made in India, Grey",299,4.3 out of 5 stars,633
https://www.amazon.in/Puma-Carry-Unisex-Duffel-Bag/dp/B089T8PKSQ,Puma Unisex Duffle Bag IND,"1,049",4.0 out of 5 stars,403
https://www.amazon.in/AmazonBasics-Vacuum-Compression-Storage-Bags/dp/B07RP7TJVT,"amazon basics Plastic Amazonbasics Vacuum Compression Storage Bags With Hand Pump - 15-Pack (2 X-Jumbo, 5 Jumbo, 4 Large, 4 Medium)","1,499",4.3 out of 5 stars,"16,422"
https://www.amazon.in/Backpack-Business-Backpacks-Charging-Resistant/dp/B094DGXXR5,"FUR JADEN Travel Laptop Backpack, Business Backpacks with USB Charging Port, Water Resistant College School Computer Bag for Men & Women Fits Under 15.6 inch Laptop and Notebook",999,4.2 out of 5 stars,385
https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q,Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag,843,4.0 out of 5 stars,"6,673"
https://www.amazon.in/gp/bestsellers/luggage/2917450031/ref=sr_bs_9_2917450031_1,Skybags Trooper 65 cms Medium Check-in Polycarbonate Hardsided 4 Wheels Spinner Luggae/Suitcase/Trolley Bag- Blue and White,"2,699",4.2 out of 5 stars,"19,881"
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,Safari Small Size 15 Ltrs Unisex Casual Backpack - Sea Blue,352,4.0 out of 5 stars,"21,262"
